time,sigOut,sigIn,sigPot
564.000,2.695,4.000,8.105
564.100,2.695,4.000,8.101
564.200,2.695,4.000,8.105
564.300,2.695,4.000,8.105
564.400,2.695,4.000,8.101
564.500,2.695,4.000,8.105
564.600,2.695,4.000,8.105
564.700,2.695,4.000,8.105
564.800,2.695,4.000,8.105
564.900,2.700,4.000,8.105
565.000,2.695,4.000,8.105
565.100,2.695,4.000,8.105
565.200,2.695,4.000,8.105
565.300,2.695,4.000,8.105
565.400,2.700,4.000,8.105
565.500,2.700,4.000,8.105
565.600,2.700,4.000,8.105
565.700,2.700,4.000,8.105
565.800,2.700,4.000,8.105
565.900,2.700,4.000,8.105
566.000,2.695,4.000,8.105
566.100,2.695,4.000,8.105
566.200,2.695,4.000,8.101
566.300,2.695,4.000,8.105
566.400,2.690,4.000,8.105
566.500,2.690,4.000,8.105
566.600,2.690,4.000,8.105
566.700,2.690,4.000,8.105
566.800,2.686,4.000,8.101
566.900,2.686,4.000,8.105
567.000,2.686,4.000,8.105
567.100,2.686,4.000,8.105
567.200,2.681,4.000,8.101
567.300,2.686,4.000,8.105
567.400,2.686,4.000,8.105
567.500,2.686,4.000,8.105
567.600,2.686,4.000,8.105
567.700,2.686,4.000,8.105
567.800,2.686,4.000,8.105
567.900,2.686,4.000,8.105
568.000,2.686,4.000,8.105
568.100,2.686,4.000,8.105
568.200,2.681,4.000,8.105
568.300,2.681,4.000,8.105
568.400,2.681,4.000,8.105
568.500,2.681,4.000,8.105
568.600,2.681,4.000,8.105
568.700,2.681,4.000,8.105
568.800,2.681,4.000,8.105
568.900,2.681,4.000,8.101
569.000,2.681,4.000,8.105
569.100,2.681,4.000,8.105
569.200,2.681,4.000,8.105
569.300,2.681,4.000,8.105
569.400,2.681,4.000,8.105
569.500,2.681,4.000,8.105
569.600,2.681,4.000,8.105
569.700,2.676,4.000,8.105
569.800,2.676,4.000,8.105
569.900,2.676,4.000,8.105
570.000,2.676,4.000,8.105
570.100,2.676,4.000,8.105
570.200,2.671,4.000,8.105
570.300,2.676,4.000,8.105
570.400,2.671,4.000,8.105
570.500,2.676,4.000,8.105
570.600,2.676,4.000,8.105
570.700,2.681,4.000,8.105
570.800,2.681,4.000,8.105
570.900,2.686,4.000,8.105
571.000,2.686,4.000,8.105
571.100,2.686,4.000,8.105
571.200,2.686,4.000,8.105
571.300,2.686,4.000,8.105
571.400,2.681,4.000,8.105
571.500,2.681,4.000,8.105
571.600,2.681,4.000,8.105
571.700,2.681,4.000,8.105
571.800,2.676,4.000,8.105
571.900,2.676,4.000,8.105
572.000,2.676,4.000,8.105
572.100,2.676,4.000,8.105
572.200,2.676,4.000,8.105
572.300,2.676,4.000,8.105
572.400,2.681,4.000,8.105
572.500,2.681,4.000,8.105
572.600,2.681,4.000,8.105
572.700,2.686,4.000,8.105
572.800,2.681,4.000,8.105
572.900,2.681,4.000,8.105
573.000,2.681,4.000,8.105
573.100,2.681,4.000,8.105
573.200,2.681,4.000,8.105
573.300,2.676,4.000,8.105
573.400,2.676,4.000,8.105
573.500,2.676,4.000,8.105
573.600,2.676,4.000,8.105
