time,snimac1_1,snimac2_1,spir_1,vent_1
0,3.1103515625,3.5546875,0,2
0.1,3.0615234375,3.5498046875,0,2
0.2,3.1103515625,3.5302734375,0,2
0.3,3.115234375,3.544921875,0,2
0.4,3.1005859375,3.5400390625,0,2
0.5,3.076171875,3.5595703125,0,2
0.6,3.1103515625,3.544921875,0,2
0.7,3.1005859375,3.5498046875,0,2
0.8,3.10546875,3.5498046875,0,2
0.9,3.0859375,3.5693359375,0,2
1,3.0712890625,3.583984375,0,2
1.1,3.1005859375,3.544921875,0,2
1.2,3.1005859375,3.5595703125,0,2
1.3,3.1103515625,3.53515625,0,2
1.4,3.0810546875,3.583984375,0,2
1.5,3.076171875,3.5791015625,0,2
1.6,3.1005859375,3.544921875,0,2
1.7,3.0908203125,3.564453125,0,2
1.8,3.095703125,3.583984375,0,2
1.9,3.076171875,3.740234375,0,2
2,3.115234375,3.544921875,0,2
2.1,3.0908203125,3.5498046875,0,2
2.2,3.1103515625,3.5498046875,0,2
2.3,3.0859375,3.564453125,0,2
2.4,3.0859375,3.5498046875,0,2
2.5,3.0810546875,3.5595703125,0,2
2.6,3.1103515625,3.5546875,0,2
2.7,3.1005859375,3.5546875,0,2
2.8,3.10546875,3.53515625,0,2
2.9,3.1005859375,3.5546875,0,2
3,3.06640625,3.5498046875,0,2
3.1,3.1103515625,3.544921875,0,2
3.2,3.0712890625,3.5693359375,0,2
3.3,3.0908203125,3.564453125,0,2
3.4,3.076171875,3.5546875,0,2
3.5,3.076171875,3.57421875,0,2
3.6,3.0615234375,3.564453125,0,2
3.7,3.0224609375,3.5986328125,0,2
3.8,3.076171875,3.5693359375,0,2
3.9,3.10546875,3.5546875,0,2
4,3.0859375,3.5693359375,0,2
4.1,3.1201171875,3.505859375,0,2
4.2,3.125,3.5302734375,0,2
4.3,3.076171875,3.544921875,0,2
4.4,3.125,3.525390625,0,2
4.5,3.1005859375,3.5205078125,0,2
4.6,3.0517578125,3.564453125,0,2
4.7,3.0517578125,3.5791015625,0,2
4.8,3.10546875,3.59375,0,2
4.9,3.1005859375,3.5595703125,0,2
5,3.06640625,3.5595703125,0,2
5.1,3.0908203125,3.5546875,0,2
5.2,3.0810546875,3.5595703125,0,2
5.3,3.095703125,3.5498046875,0,2
5.4,3.0615234375,3.5546875,0,2
5.5,3.0810546875,3.5546875,0,2
5.6,3.0859375,3.5302734375,0,2
5.7,3.06640625,3.564453125,0,2
5.8,3.1103515625,3.5302734375,0,2
5.9,3.1103515625,3.5498046875,0,2
6,3.10546875,3.515625,0,2
6.1,3.0859375,3.564453125,0,2
6.2,3.0859375,3.5400390625,0,2
6.3,3.1005859375,3.544921875,0,2
6.4,3.0810546875,3.5498046875,0,2
6.5,3.0810546875,3.53515625,0,2
6.6,3.095703125,3.5302734375,0,2
6.7,3.1103515625,3.5693359375,0,2
6.8,3.1005859375,3.564453125,0,2
6.9,3.1103515625,3.544921875,0,2
7,3.1005859375,3.5595703125,0,2
7.1,3.10546875,3.5498046875,0,2
7.2,3.0859375,3.5595703125,0,2
7.3,3.0712890625,3.5546875,0,2
7.4,3.0712890625,3.53515625,0,2
7.5,3.10546875,3.544921875,0,2
7.6,3.1005859375,3.544921875,0,2
7.7,3.076171875,3.5498046875,0,2
7.8,3.076171875,3.5595703125,0,2
7.9,3.0859375,3.5498046875,0,2
8,3.095703125,3.5400390625,0,2
8.1,3.095703125,3.5498046875,0,2
8.2,3.095703125,3.53515625,0,2
8.3,3.076171875,3.53515625,0,2
8.4,3.1005859375,3.544921875,0,2
8.5,3.1005859375,3.5400390625,0,2
8.6,3.0712890625,3.564453125,0,2
8.7,3.0908203125,3.544921875,0,2
8.8,3.10546875,3.544921875,0,2
8.9,3.0859375,3.53515625,0,2
9,3.095703125,3.53515625,0,2
9.1,3.1005859375,3.525390625,0,2
9.2,3.095703125,3.544921875,0,2
9.3,3.1005859375,3.525390625,0,2
9.4,3.095703125,3.5400390625,0,2
9.5,3.095703125,3.515625,0,2
9.6,3.076171875,3.5400390625,0,2
9.7,3.076171875,3.5107421875,0,2
9.8,3.1005859375,3.53515625,0,2
9.9,3.0908203125,3.544921875,0,2
10,3.0908203125,3.5400390625,0,2
10.1,3.095703125,3.515625,0,2
10.2,3.0810546875,3.515625,0,2
10.3,3.0810546875,3.5546875,0,2
10.4,3.0908203125,3.5205078125,0,2
10.5,3.0859375,3.515625,0,2
10.6,3.076171875,3.515625,0,2
10.7,3.0859375,3.53515625,0,2
10.8,3.076171875,3.5400390625,0,2
10.9,3.076171875,3.53515625,0,2
11,3.10546875,3.5205078125,0,2
11.1,3.0712890625,3.544921875,0,2
11.2,3.0908203125,3.5400390625,0,2
11.3,3.076171875,3.53515625,0,2
11.4,3.076171875,3.5498046875,0,2
11.5,3.0810546875,3.5546875,0,2
11.6,3.0712890625,3.5302734375,0,2
11.7,3.0908203125,3.525390625,0,2
11.8,3.095703125,3.53515625,0,2
11.9,3.0859375,3.5498046875,0,2
12,3.095703125,3.544921875,0,2
12.1,3.1005859375,3.5107421875,0,2
12.2,3.095703125,3.505859375,0,2
12.3,3.1884765625,3.5302734375,0,2
12.4,3.0712890625,3.544921875,0,2
12.5,3.0859375,3.53515625,0,2
12.6,3.0810546875,3.53515625,0,2
12.7,3.0908203125,3.53515625,0,2
12.8,3.0810546875,3.5205078125,0,2
12.9,3.06640625,3.5400390625,0,2
13,3.0810546875,3.5107421875,0,2
13.1,3.095703125,3.515625,0,2
13.2,3.0908203125,3.53515625,0,2
13.3,3.0810546875,3.5205078125,0,2
13.4,3.06640625,3.525390625,0,2
13.5,3.0810546875,3.5302734375,0,2
13.6,3.0810546875,3.5205078125,0,2
13.7,3.076171875,3.5400390625,0,2
13.8,3.0810546875,3.525390625,0,2
13.9,3.076171875,3.5400390625,0,2
14,3.1005859375,3.5205078125,0,2
14.1,3.076171875,3.53515625,0,2
14.2,3.095703125,3.525390625,0,2
14.3,3.0859375,3.525390625,0,2
14.4,3.0859375,3.53515625,0,2
14.5,3.095703125,3.5205078125,0,2
14.6,3.076171875,3.544921875,0,2
