t,tp,y,u,pot,dtp,dt,step,pct,ref
0.000000,0.000000,0.000000,100.000000,0.000000,0.034384,0.000078,0.000000,0.000052,0.000000
0.020072,0.020004,0.000000,100.000000,0.000000,0.020004,0.020003,1.000000,0.020044,0.000000
0.040079,0.039988,0.000000,100.000000,0.000000,0.019984,0.020007,2.000000,0.040028,0.000000
0.060081,0.060008,0.000000,100.000000,0.000000,0.020020,0.020002,3.000000,0.060048,0.000000
0.080085,0.080004,0.000000,100.000000,0.000000,0.019996,0.020003,4.000000,0.080044,0.000000
0.100090,0.100016,0.000000,100.000000,0.000000,0.020012,0.020005,5.000000,0.100060,0.000000
0.120091,0.120012,0.000000,100.000000,0.000000,0.019996,0.020001,6.000000,0.120052,0.000000
0.140093,0.140000,0.000000,100.000000,0.000000,0.019988,0.020002,7.000000,0.140044,0.000000
0.160094,0.160024,0.000000,100.000000,0.000000,0.020024,0.020001,8.000000,0.160064,0.000000
0.180094,0.180012,0.000000,100.000000,0.000000,0.019988,0.020001,9.000000,0.180052,0.000000
0.200097,0.199996,0.000000,100.000000,0.000000,0.019984,0.020002,10.000000,0.200036,0.000000
0.220098,0.220016,0.000000,100.000000,0.000000,0.020020,0.020001,11.000000,0.220056,0.000000
0.240099,0.239996,0.000000,100.000000,0.000000,0.019980,0.020001,12.000000,0.240036,0.000000
0.260101,0.260024,0.000000,100.000000,0.000000,0.020028,0.020002,13.000000,0.260064,0.000000
0.280102,0.280004,0.000000,100.000000,0.000000,0.019980,0.020002,14.000000,0.280044,0.000000
0.300106,0.300024,0.000000,100.000000,0.000000,0.020020,0.020007,15.000000,0.300064,0.000000
0.320112,0.319992,0.000000,100.000000,0.000000,0.019968,0.020002,16.000000,0.320036,0.000000
0.340118,0.340016,0.000000,100.000000,0.000000,0.020024,0.020006,17.000000,0.340056,0.000000
0.360120,0.360000,0.000000,100.000000,0.000000,0.019984,0.020002,18.000000,0.360040,0.000000
0.380127,0.380024,0.000000,100.000000,0.000000,0.020024,0.020007,19.000000,0.380064,0.000000
