# work_t,work_y,sim_t,sim_y
0.000000e+00,0.000000e+00,2.544900e+00,-5.894385e+01
2.000400e-02,0.000000e+00,2.547400e+00,-5.893055e+01
3.998800e-02,0.000000e+00,2.549900e+00,-5.889067e+01
6.000800e-02,0.000000e+00,2.552400e+00,-5.882422e+01
8.000400e-02,0.000000e+00,2.554900e+00,-5.873123e+01
1.000160e-01,0.000000e+00,2.557400e+00,-5.861173e+01
1.200120e-01,0.000000e+00,2.559900e+00,-5.846577e+01
1.400000e-01,0.000000e+00,2.562400e+00,-5.829340e+01
1.600240e-01,0.000000e+00,2.564900e+00,-5.809466e+01
1.800120e-01,0.000000e+00,2.567400e+00,-5.786964e+01
1.999960e-01,0.000000e+00,2.569900e+00,-5.761839e+01
2.200160e-01,0.000000e+00,2.572400e+00,-5.734101e+01
2.399960e-01,0.000000e+00,2.574900e+00,-5.703758e+01
2.600240e-01,0.000000e+00,2.577400e+00,-5.670820e+01
2.800040e-01,0.000000e+00,2.579900e+00,-5.635298e+01
3.000240e-01,0.000000e+00,2.582400e+00,-5.597203e+01
3.199920e-01,0.000000e+00,2.584900e+00,-5.556548e+01
3.400160e-01,0.000000e+00,2.587400e+00,-5.513346e+01
3.600000e-01,0.000000e+00,2.589900e+00,-5.467611e+01
3.800240e-01,0.000000e+00,2.592400e+00,-5.419359e+01
4.000080e-01,0.000000e+00,2.594900e+00,-5.368606e+01
4.199840e-01,0.000000e+00,2.597400e+00,-5.315369e+01
4.400080e-01,0.000000e+00,2.599900e+00,-5.259666e+01
4.600040e-01,0.000000e+00,2.602400e+00,-5.201517e+01
4.799840e-01,0.000000e+00,2.604900e+00,-5.140942e+01
5.000240e-01,0.000000e+00,2.607400e+00,-5.077962e+01
5.200040e-01,0.000000e+00,2.609900e+00,-5.012600e+01
5.400280e-01,0.000000e+00,2.612400e+00,-4.944879e+01
5.600120e-01,-1.186523e+00,2.614900e+00,-4.874825e+01
5.799960e-01,-4.152832e+00,2.617400e+00,-4.802464e+01
6.000240e-01,-8.041992e+00,2.619900e+00,-4.727822e+01
6.200040e-01,-1.153565e+01,2.622400e+00,-4.650928e+01
6.400040e-01,-1.469971e+01,2.624900e+00,-4.571812e+01
6.600400e-01,-1.727051e+01,2.627400e+00,-4.490504e+01
6.799880e-01,-1.964355e+01,2.629900e+00,-4.407038e+01
7.000160e-01,-2.320312e+01,2.632400e+00,-4.321445e+01
7.200120e-01,-2.768555e+01,2.634900e+00,-4.233763e+01
7.400080e-01,-3.190430e+01,2.637400e+00,-4.144025e+01
7.599960e-01,-3.520020e+01,2.639900e+00,-4.052271e+01
7.800400e-01,-3.737549e+01,2.642400e+00,-3.958538e+01
8.000280e-01,-3.875977e+01,2.644900e+00,-3.862867e+01
8.200280e-01,-4.027588e+01,2.647400e+00,-3.765300e+01
8.400120e-01,-4.212158e+01,2.649900e+00,-3.665879e+01
8.600040e-01,-4.456055e+01,2.652400e+00,-3.564650e+01
8.800280e-01,-4.719727e+01,2.654900e+00,-3.461656e+01
9.000280e-01,-4.983398e+01,2.657400e+00,-3.356947e+01
9.200120e-01,-5.247070e+01,2.659900e+00,-3.250569e+01
9.400040e-01,-5.504150e+01,2.662400e+00,-3.142573e+01
9.600280e-01,-5.761230e+01,2.664900e+00,-3.033010e+01
9.800200e-01,-5.919434e+01,2.667400e+00,-2.921932e+01
1.000008e+00,-5.827148e+01,2.669900e+00,-2.809394e+01
1.020004e+00,-5.906250e+01,2.672400e+00,-2.695449e+01
1.040040e+00,-5.873291e+01,2.674900e+00,-2.580154e+01
1.060036e+00,-5.893066e+01,2.677400e+00,-2.463567e+01
1.080024e+00,-5.893066e+01,2.679900e+00,-2.345747e+01
1.100028e+00,-5.879883e+01,2.682400e+00,-2.226753e+01
1.120028e+00,-5.893066e+01,2.684900e+00,-2.106645e+01
1.140020e+00,-5.893066e+01,2.687400e+00,-1.985487e+01
1.160012e+00,-5.893066e+01,2.689900e+00,-1.863341e+01
1.180040e+00,-5.893066e+01,2.692400e+00,-1.740272e+01
1.200028e+00,-5.893066e+01,2.694900e+00,-1.616343e+01
1.220012e+00,-5.893066e+01,2.697400e+00,-1.491621e+01
1.240004e+00,-5.893066e+01,2.699900e+00,-1.366173e+01
1.260028e+00,-5.893066e+01,2.702400e+00,-1.240066e+01
1.280028e+00,-5.893066e+01,2.704900e+00,-1.113368e+01
1.300016e+00,-5.893066e+01,2.707400e+00,-9.861479e+00
1.320012e+00,-5.893066e+01,2.709900e+00,-8.584747e+00
1.340448e+00,-5.893066e+01,2.712400e+00,-7.304184e+00
1.360004e+00,-5.893066e+01,2.714900e+00,-6.020491e+00
1.380040e+00,-5.893066e+01,2.717400e+00,-4.734374e+00
1.400036e+00,-5.893066e+01,2.719900e+00,-3.446542e+00
1.420028e+00,-5.893066e+01,2.722400e+00,-2.157705e+00
1.440028e+00,-5.893066e+01,2.724900e+00,-8.685748e-01
1.460028e+00,-5.893066e+01,2.727400e+00,4.201364e-01
1.480012e+00,-5.893066e+01,2.729900e+00,1.707716e+00
1.500000e+00,-5.893066e+01,2.732400e+00,2.993454e+00
1.520036e+00,-5.893066e+01,2.734900e+00,4.276639e+00
1.540028e+00,-5.893066e+01,2.737400e+00,5.556565e+00
